spec,y,X,train_r2,test_r2,beta_neg,beta_pos,beta_finbert_neg,beta_finbert_pos
car01_market_only,CAR_01,pre_volatility,0.010269011769045933,-0.10817775257324858,,,,
car01_lexicon_only,CAR_01,"neg_rate_lm,pos_rate_lm",0.001883583481226303,-0.014925996588230461,-3.1680579345047954,1.4699942806906812,,
car01_finbert_only,CAR_01,"finbert_neg_mean,finbert_pos_mean",0.059184640784867515,0.029528992635438844,,,-0.9982587548760518,0.012592467457462453
car01_full_lexicon,CAR_01,"neg_rate_lm,pos_rate_lm,pre_volatility",0.011308892846619845,-0.09375402191655269,-2.5611662580541656,1.0815582956376542,,
car01_full_finbert,CAR_01,"finbert_neg_mean,finbert_pos_mean,pre_volatility",0.06290726424887094,-0.033909668522112524,,,-0.94785626496512,0.0028232907531991203
