spec,train_r2,test_r2,beta_neg_or_finbert_neg,beta_pos_or_finbert_pos
car01_market_only,0.0102690117690459,-0.1081777525732485,,
car01_lexicon_only,0.0018835834812263,-0.0149259965882304,-3.168057934504795,1.4699942806906812
car01_finbert_only,0.0591846407848675,0.0295289926354388,,
car01_full_lexicon,0.0113088928466198,-0.0937540219165526,-2.5611662580541656,1.0815582956376542
car01_full_finbert,0.0629072642488709,-0.0339096685221125,,
