model,target,wald_p,asymmetric,coef_const,coef_neg_rate,coef_pos_rate,pval_const,pval_neg_rate,pval_pos_rate,coef_pre_vol,coef_yr_2016,coef_yr_2017,coef_yr_2018,coef_yr_2019,coef_yr_2020,coef_yr_2021,coef_yr_2022,coef_yr_2023,coef_yr_2024,coef_yr_2025,pval_pre_vol,pval_yr_2016,pval_yr_2017,pval_yr_2018,pval_yr_2019,pval_yr_2020,pval_yr_2021,pval_yr_2022,pval_yr_2023,pval_yr_2024,pval_yr_2025,coef_neg_rate_pres,coef_pos_rate_pres,pval_neg_rate_pres,pval_pos_rate_pres,coef_neg_rate_qa,coef_pos_rate_qa,pval_neg_rate_qa,pval_pos_rate_qa
LM Lexicon,car_03,0.4852869445199006,False,0.002663018862261863,-3.50941522937681,2.391850246383482,0.6540186454772452,0.18277059331370082,0.0671176912315989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LM + Controls [OLS],car_03,0.04212512026521341,True,0.0304206805233972,-8.924124726323184,3.3085419741834627,0.0863906109033227,0.02360904851384615,0.03468706338682497,-0.5817107067729685,0.045350896568110484,-0.0008359406777586308,-0.014094275366631019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4896320793188357,0.04694106164444424,0.9592510593668241,0.2959406888649807,,,,,,,,,,,,,,,
LM Pres only,car_03,0.5936013880786919,False,-0.00030559587517335916,,,0.9651380813307971,,,,,,,,,,,,,,,,,,,,,,,,,-0.07121758436455355,0.6440887103386393,0.9473509686306195,0.27034059328279314,,,,
LM Q&A only,car_03,0.38562053553887454,False,0.005758806016599137,,,0.37020390999978026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.694974540150947,3.6573681074197646,0.028892083468299246,0.009455588765853194
LM Pres + Q&A,car_03,0.2181668105033705,False,0.002471914708020774,,,0.6719425566797204,,,,,,,,,,,,,,,,,,,,,,,,,1.824904787814935,2.3978781008656567,0.3865914143086776,0.13880564064747944,-10.303213419842947,3.0786469570205144,0.043260015593799606,0.019074680518539517
LM Lexicon [CAR01],car_01,0.7793137465294484,False,-0.0007584154901633661,-2.6064505794231816,2.2128277546909128,0.8739497794111986,0.2553474753046838,0.04472795859421268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LM Q&A [CAR01],car_01,0.6915340896748281,False,0.0016373443136013534,,,0.7500923160950577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.061396009473311,3.643999029244696,0.04043667474534223,0.004552427740010753
