event_id,ticker,file_name,event_trading_day,alpha,beta,n_obs_estimation,car_01,car_03,ar_0,pre_vol,post_vol,delta_vol,file_path,year,quarter
0,AAPL,2016-Jan-26-AAPL.txt,2016-01-27,-0.0003866503685128,1.1029938355045756,101,-0.0432406632809055,-0.0450634334835204,-0.0412928272392362,0.0240049761606033,0.018418801636774,-0.0055861745238293,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Jan-26-AAPL.txt,2016,Q1
1,AAPL,2016-Apr-26-AAPL.txt,2016-04-27,-0.000282311143608,1.0797749815653537,101,-0.0741819411311258,-0.0890014133324086,-0.0567425494815496,0.0105507467572184,0.0124546275982649,0.0019038808410464,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Apr-26-AAPL.txt,2016,Q2
2,AAPL,2016-Jul-26-AAPL.txt,2016-07-27,-0.0004664558877566,0.8542404785637734,101,0.0719019081533669,0.0844086991242556,0.0604551583686664,0.009705854044447,0.0104938492745325,0.0007879952300855,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Jul-26-AAPL.txt,2016,Q3
3,AAPL,2016-Oct-25-AAPL.txt,2016-10-26,0.0010665478280107,0.8645979914143607,101,-0.0231608255234426,-0.0290673695599969,-0.0181397788508864,0.0049976968876214,0.0092935565057965,0.004295859618175,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2016-Oct-25-AAPL.txt,2016,Q4
4,AAPL,2017-Jan-31-AAPL.txt,2017-02-01,0.0003991696151893,0.8853502988983496,101,0.0550925122563906,0.0636484209510791,0.0561884324174822,0.0053831700645748,0.0049570641315539,-0.0004261059330209,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-Jan-31-AAPL.txt,2017,Q1
5,AAPL,2017-May-02-AAPL.txt,2017-05-03,0.0015290558367029,0.9389017886230784,101,-0.0066289608529216,0.0298643611867079,-0.0010645061373857,0.0081679308941614,0.0164135341257068,0.0082456032315453,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-May-02-AAPL.txt,2017,Q2
6,AAPL,2017-Aug-01-AAPL.txt,2017-08-02,2.3480203286618793e-05,1.2120623305918026,101,0.0415181463131422,0.0539249648409472,0.047282825686097,0.0091824800132222,0.0147400406694584,0.0055575606562362,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-Aug-01-AAPL.txt,2017,Q3
7,AAPL,2017-Nov-02-AAPL.txt,2017-11-03,-0.0008114047313234,1.2625564142041126,101,0.0244684452156556,0.0369759883189077,0.0176184291391574,0.0138254492162274,0.0092973540560994,-0.004528095160128,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2017-Nov-02-AAPL.txt,2017,Q4
8,AAPL,2018-Feb-01-AAPL.txt,2018-02-02,-0.0005452536123303,1.311123194212097,101,0.0079484503576517,0.0132816189876209,-0.0171206490679446,0.0088783700662923,0.0264772257231037,0.0175988556568114,/Users/javierdominguezsegura/Academics/College/Courses/NLP/NASDAQ-NLP/dataset/Transcripts/AAPL/2018-Feb-01-AAPL.txt,2018,Q1
9,AAPL,2018_Q1_aapl_processed.txt,2018-04-30,-0.0002000789358777,1.021003848312549,101,0.0401155853195263,0.0926028598886806,0.0259888117385065,0.0168738637149861,0.0168054151889684,-6.844852601762055e-05,/Users/javierdominguezsegura/Downloads/archive (1)/cleaned_ECTs_dataset/Apple/2018_Q1_aapl_processed.txt,2018,Q1
