ticker,file_name,event_trading_day,total_tokens,neg_count,pos_count,neg_rate,pos_rate,neg_rate_pres,pos_rate_pres,neg_rate_qa,pos_rate_qa
AAPL,2016-Jan-26-AAPL.txt,2016-01-27,7826,91,105,0.0116279069767441,0.0134168157423971,0.0112903225806451,0.0311827956989247,0.0117331545424069,0.0078779751927589
AAPL,2016-Apr-26-AAPL.txt,2016-04-27,8910,82,105,0.0092031425364758,0.0117845117845117,0.0089786756453423,0.0179573512906846,0.0093527871305649,0.0076692854470632
AAPL,2016-Jul-26-AAPL.txt,2016-07-27,7257,54,105,0.0074410913600661,0.0144687887556841,0.0040899795501022,0.0276073619631901,0.0086776079984908,0.0096208262591963
AAPL,2016-Oct-25-AAPL.txt,2016-10-26,7784,48,119,0.0061664953751284,0.0152877697841726,0.0010090817356205,0.027749747729566,0.0079283005860048,0.0110306790761806
AAPL,2017-Jan-31-AAPL.txt,2017-02-01,7636,55,139,0.0072027239392352,0.0182032477737035,0.0030753459764223,0.0317785750896975,0.0086191732629727,0.0135444151275285
AAPL,2017-May-02-AAPL.txt,2017-05-03,7390,37,103,0.0050067658998646,0.0139377537212449,0.0015282730514518,0.0295466123280692,0.0062649714391007,0.0082918739635157
AAPL,2017-Aug-01-AAPL.txt,2017-08-02,7713,41,104,0.0053157007649423,0.0134837287696097,0.0028985507246376,0.0270531400966183,0.0062023746234272,0.0085061137692716
AAPL,2017-Nov-02-AAPL.txt,2017-11-03,6740,30,112,0.0044510385756676,0.0166172106824925,0.0005452562704471,0.0239912758996728,0.0059111292295148,0.0138605788830004
AAPL,2018-Feb-01-AAPL.txt,2018-02-02,7811,42,81,0.0053770323902189,0.0103699910382793,0.0005399568034557,0.0210583153347732,0.0068803490518543,0.0070481624433629
AAPL,2018_Q1_aapl_processed.txt,2018-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2018-May-01-AAPL.txt,2018-05-02,6731,35,109,0.0051998217203981,0.0161937305006685,0.0014436958614051,0.0235803657362848,0.0068772834730281,0.0128949065119277
AAPL,2018_Q2_aapl_processed.txt,2018-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2018-Jul-31-AAPL.txt,2018-08-01,7588,45,86,0.0059304164470216,0.011333684765419,0.0024057738572574,0.0180433039294306,0.0076560659599528,0.0080486847271299
AAPL,2018_Q3_aapl_processed.txt,2018-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2018-Nov-01-AAPL.txt,2018-11-02,8209,38,131,0.0046290656596418,0.0159580947740285,0.0013319126265316,0.0229088971763452,0.0074074074074074,0.0101010101010101
AAPL,2019-Jan-29-AAPL.txt,2019-01-30,7585,48,98,0.0063282794990112,0.0129202373104812,0.0058525165821303,0.0265314085056574,0.0065710872162485,0.005973715651135
AAPL,2018_Q4_aapl_processed.txt,2019-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2019_Q1_aapl_processed.txt,2019-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2019-Apr-30-AAPL.txt,2019-05-01,7213,47,117,0.0065160127547483,0.0162207126022459,0.0053120849933598,0.0258964143426294,0.0073791954296596,0.0092835039276362
AAPL,2019_Q2_aapl_processed.txt,2019-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2019_Q3_aapl_processed.txt,2019-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2020-Jan-28-AAPL.txt,2020-01-29,7109,47,89,0.0066113377408918,0.0125193416795611,0.00341796875,0.02099609375,0.0079035763683066,0.0090891128235526
AAPL,2019_Q4_aapl_processed.txt,2020-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2020_Q1_aapl_processed.txt,2020-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2020-Apr-30-AAPL.txt,2020-05-01,7698,66,89,0.0085736554949337,0.011561444531047,0.009705248023005,0.0197699496764917,0.0079332790886899,0.0069161920260374
AAPL,2020_Q2_aapl_processed.txt,2020-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2020_Q3_aapl_processed.txt,2020-11-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2020_Q4_aapl_processed.txt,2021-02-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2021_Q1_aapl_processed.txt,2021-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2021_Q2_aapl_processed.txt,2021-08-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2021_Q3_aapl_processed.txt,2021-11-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2021_Q4_aapl_processed.txt,2022-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2022_Q1_aapl_processed.txt,2022-05-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2022_Q2_aapl_processed.txt,2022-08-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2022_Q3_aapl_processed.txt,2022-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2022_Q4_aapl_processed.txt,2023-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2023_Q1_aapl_processed.txt,2023-05-01,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2023_Q2_aapl_processed.txt,2023-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2023_Q3_aapl_processed.txt,2023-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2023_Q4_aapl_processed.txt,2024-01-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2024_Q1_aapl_processed.txt,2024-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2024_Q2_aapl_processed.txt,2024-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,2024_Q3_aapl_processed.txt,2024-10-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACN,2018_Q1_acn_processed.txt,2018-04-30,7944,40,169,0.0050352467270896,0.0212739174219536,0.0,0.0,0.0050473186119873,0.0213249211356466
ACN,2018_Q2_acn_processed.txt,2018-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACN,2018_Q3_acn_processed.txt,2018-10-31,8211,45,186,0.0054804530507855,0.0226525392765802,0.0,0.0,0.005495847581827,0.0227161700048851
ACN,2018_Q4_acn_processed.txt,2019-01-31,7415,47,147,0.0063385030343897,0.0198246797033041,0.0063385030343897,0.0198246797033041,0.0,0.0
ACN,2019_Q1_acn_processed.txt,2019-04-30,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACN,2019_Q2_acn_processed.txt,2019-07-31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACN,2019_Q3_acn_processed.txt,2019-10-31,7867,51,156,0.0064827761535528,0.0198296682343968,0.0,0.0,0.0064959877722583,0.0198700802445548
ACN,2019_Q4_acn_processed.txt,2020-01-31,7811,51,122,0.0065292536166944,0.0156189988477787,0.0,0.0,0.0065434949961508,0.0156530664613805
ACN,2020_Q1_acn_processed.txt,2020-04-30,8293,41,167,0.0049439286144941,0.0201374653322078,0.0,0.0,0.0049534855624018,0.0201763924127099
ACN,2020_Q2_acn_processed.txt,2020-07-31,7718,70,106,0.0090697071780253,0.0137341280124384,0.0,0.0,0.0090920898818028,0.0137680218210157
ACN,2020_Q3_acn_processed.txt,2020-11-02,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ACN,2020_Q4_acn_processed.txt,2021-02-01,7997,66,111,0.0082530949105914,0.0138802050769038,0.0082530949105914,0.0138802050769038,0.0,0.0
ACN,2021_Q1_acn_processed.txt,2021-04-30,7935,53,148,0.0066792690611216,0.0186515437933207,0.0,0.0,0.0066927642379088,0.018689228437934
ACN,2021_Q2_acn_processed.txt,2021-08-02,8116,47,148,0.0057910300640709,0.0182355840315426,0.0057910300640709,0.0182355840315426,0.0,0.0
ACN,2021_Q3_acn_processed.txt,2021-11-01,7279,40,124,0.0054952603379585,0.0170353070476713,0.0,0.0,0.0055096418732782,0.0170798898071625
ACN,2021_Q4_acn_processed.txt,2022-01-31,8012,39,135,0.0048676984523215,0.0168497254118821,0.0,0.0,0.0048786589942456,0.0168876657493119
ACN,2022_Q1_acn_processed.txt,2022-05-02,6533,47,100,0.0071942446043165,0.0153069034134394,0.0,0.0,0.0072108008591592,0.0153421294875728
ACN,2022_Q2_acn_processed.txt,2022-08-01,8177,64,105,0.0078268313562431,0.0128408951938363,0.0078268313562431,0.0128408951938363,0.0,0.0
ACN,2022_Q3_acn_processed.txt,2022-10-31,7078,50,105,0.007064142413111,0.0148346990675332,0.007064142413111,0.0148346990675332,0.0,0.0
ACN,2022_Q4_acn_processed.txt,2023-01-31,8003,44,135,0.0054979382731475,0.0168686742471573,0.0,0.0,0.0055110220440881,0.0169088176352705
ACN,2023_Q1_acn_processed.txt,2023-05-01,8023,46,122,0.0057335161410943,0.0152062819394241,0.0,0.0,0.005744973148495,0.0152366679155738
