period,ticker,neg_rate,pos_rate,car_03,car_01,n
2016-Q1,AAPL,0.0044722719141323,0.0134168157423971,-0.0450632458077319,-0.0432403783073587,1
2016-Q1,AMD,0.0029979613862573,0.0115121717232282,0.0734089281928313,0.0770907446357116,1
2016-Q1,AMZN,0.0009406073636119,0.0115560333243751,-0.1851695856654802,-0.1339745006102434,1
2016-Q1,ASML,0.0007654455986878,0.0059048660470202,0.1091105393662242,0.088838078702476,1
2016-Q1,CSCO,0.0029669762641898,0.0150928792569659,0.1132935717580025,0.1020855107578944,1
2016-Q1,GOOGL,0.0015166287509478,0.0115913768822446,-0.0353930119445204,-0.003689109610737,1
2016-Q1,INTC,0.0022382491917433,0.0111912459587167,-0.0779381814810402,-0.0691858569624923,1
2016-Q1,MSFT,0.0020113979215554,0.016538160688345,-0.0040127741715665,0.0178344233638255,1
2016-Q1,MU,0.003617454216595,0.0109654080940538,0.0171516148400133,0.046501557759293,1
2016-Q1,NVDA,0.0011026371404943,0.0078103464118349,0.1318426907320006,0.1005057272816181,1
2016-Q2,AAPL,0.003030303030303,0.0104377104377104,-0.089001611970583,-0.0741820433744214,1
2016-Q2,AMD,0.002458512599877,0.010079901659496,0.4776271687805367,0.3954437421311877,1
2016-Q2,AMZN,0.0019734987313222,0.0139554553143501,0.1328020650690892,0.1293076277420769,1
2016-Q2,ASML,0.0007570841444949,0.0047588146225394,-0.0319770666321226,-0.0429999470960274,1
2016-Q2,CSCO,0.0025075225677031,0.0157973921765295,0.0370479740449986,0.0385885487652334,1
2016-Q2,GOOGL,0.0016456390565002,0.0129456939111354,-0.064726000230376,-0.0408497968984153,1
2016-Q2,INTC,0.0032776810406637,0.0149544197480282,0.002572832221673,0.0106469277012657,1
2016-Q2,MSFT,0.0043473535485273,0.0168459950005434,-0.0733626665744238,-0.0561784064427291,1
2016-Q2,MU,0.002813928948294,0.0093797631609801,-0.1234446917148689,-0.1290806137625616,1
2016-Q2,NVDA,0.0007970849464814,0.0061489410157139,0.1996348590565342,0.1677842171507026,1
2016-Q3,AAPL,0.0015157778696431,0.0099214551467548,0.0844086160997507,0.0719018976503687,1
2016-Q3,AMD,0.0023264831329972,0.0085304381543233,0.2354167355026716,0.241267314882147,1
2016-Q3,AMZN,0.0012313375404032,0.0096967831306756,-0.0086475547516125,0.0094118781987561,1
2016-Q3,ASML,0.0009595777857742,0.0056375194914237,-0.0049113150797744,-0.0090290167235943,1
2016-Q3,CSCO,0.0037021216004556,0.0145237078171721,-6.712730439924555e-05,-0.0096947360111494,1
2016-Q3,GOOGL,0.0011071744906997,0.0127325066430469,0.045507002887596,0.0422696071561535,1
2016-Q3,INTC,0.0029292474087426,0.0122803064443442,-0.0208366577406226,-0.0308582290160465,1
2016-Q3,MSFT,0.0035056967572304,0.0167616126205083,0.0562743310323538,0.043727292248684,1
2016-Q3,NVDA,0.0004369483527047,0.0062920562789478,0.0081063467390894,0.0399190872691707,1
2016-Q4,AAPL,0.0014131551901336,0.0119475847893114,-0.0290674136578614,-0.023160832391505,1
2016-Q4,AMD,0.0009558706388402,0.0103552652541022,0.0322209016649315,-0.0179177416072439,1
2016-Q4,AMZN,0.0012764405543398,0.0045587162654996,-0.0522998039832597,-0.0321845452852329,1
2016-Q4,ASML,0.0007824726134585,0.0040241448692152,0.0127092980388206,0.0133738764921022,1
2016-Q4,CSCO,0.0041394044598744,0.0100146882093737,-0.0693845834100573,-0.0485754049273066,1
2016-Q4,GOOGL,0.0011465260261407,0.0104333868378812,-0.0177514326926046,-0.004788552938008,1
