ticker,alpha,beta,n,mean_car03,std_car03,mean_pre_vol
AAPL,0.000326929812104625,1.101668095833023,19,0.020919192824887346,0.05388352373002509,0.013270854054124762
AMD,0.0028817567253457527,1.776124719022746,19,0.031912508711807085,0.19698280043327568,0.02926823109794141
AMZN,0.0008145590243763404,1.1750225623342059,19,-0.005869963409946047,0.07744299224657439,0.01671933501661402
ASML,0.0002903915473767526,1.1926863425183385,19,0.01980938107915975,0.05407421790421287,0.016612978518265206
CSCO,9.4854825950907e-05,0.9382107639213043,19,-0.006070201566223565,0.0654040899265425,0.013316481666081048
GOOGL,-7.272712132711594e-05,1.0769046342593651,19,-0.010487217215150479,0.051332957842585916,0.012098069577911931
INTC,0.00017682922255883894,1.0683203785410447,19,-0.014649400927682188,0.0776495145135774,0.013633674253566246
MSFT,0.0006611434412768052,1.1284317140286642,19,0.010191012217297147,0.03235367348969801,0.012174512986982874
MU,6.441653940616474e-05,1.7206365981286618,17,-0.0034614869693377665,0.08041889052081638,0.028930146624773452
NVDA,0.0013367192986142584,1.7003154099278914,19,0.0330537416627819,0.13199978754029404,0.022207364267228875
